id,mass (g),reclat,reclong
1.0,21.0,50.775,6.08333
2.0,720.0,56.18333,10.23333
6.0,107000.0,54.21667,-113.0
10.0,1914.0,16.88333,-99.9
370.0,780.0,-33.16667,-64.95
379.0,4239.0,32.1,71.8
390.0,910.0,44.83333,95.16667
392.0,30000.0,44.21667,0.61667
398.0,1620.0,-31.6,-65.23333
417.0,1440.0,-30.86667,-64.55
423.0,1000.0,16.39806,-9.57028
424.0,24000.0,19.08333,8.38333
426.0,779.0,29.51667,35.05
427.0,1800.0,29.71667,77.95
432.0,3000.0,8.91667,8.43333
433.0,50000.0,39.91667,42.81667
446.0,160.0,24.41667,39.51667
447.0,700.0,13.66033,28.96
448.0,6000.0,44.11667,4.08333
453.0,2000.0,44.65,11.01667
454.0,625.0,2.0,22.66667
458.0,252.0,45.82133,6.01533
461.0,700.0,51.78333,-1.78333
462.0,3200.0,36.23333,37.13333
463.0,908.0,44.88333,8.75
465.0,9251.0,50.95,31.81667
466.0,228000.0,45.26667,10.15
2276.0,32000.0,42.53333,-85.88333
2278.0,2000000.0,26.96667,-105.31667
48915.0,3950.0,20.74575,32.41275
2284.0,6000.0,35.27333,44.21556
2290.0,6400.0,27.66667,78.25
2294.0,2700.0,26.58333,85.56667
2295.0,3200.0,44.61667,-70.75
2296.0,600.0,48.7,37.5
2298.0,17900.0,20.88333,76.86667
2302.0,1500.0,-22.96667,-44.31667
2304.0,6500.0,9.53333,39.71667
2305.0,2500.0,25.15,105.18333
2313.0,320.0,40.81056,140.78556
2318.0,15000.0,53.58333,-2.71667
2320.0,3200.0,43.86667,5.38333
2325.0,810.0,-33.0,-66.0
2329.0,5070.0,38.5,-94.3
2340.0,7450.0,-31.41667,-60.66667
2345.0,41.0,42.45,9.03333
48954.0,9500.0,31.805,-97.01
2346.0,1300.0,52.05,0.3
2353.0,2000.0,43.03333,12.55
4883.0,1280.0,25.25417,80.625
4884.0,94.2,20.06667,-103.66667
4885.0,265.0,34.75,-87.0
4888.0,1384.2,34.31667,-96.15
4893.0,800.0,44.38333,5.16667
4899.0,50000.0,36.16667,3.66667
4900.0,2000.0,44.33333,3.23333
4903.0,50000.0,43.08333,0.58333
4905.0,9330.0,-21.46028,-49.95083
4906.0,1230.0,46.0,13.5
4907.0,146.0,25.0,-103.5
4910.0,134.0,2.71667,32.83333
4913.0,2830.0,36.8,-108.0
4917.0,18000.0,48.6,38.0
4922.0,10322.0,28.48333,78.5
4925.0,3700.0,35.96667,-82.48333
4926.0,345.0,34.5,-88.66667
4928.0,1000.0,5.38333,16.38333
4934.0,16700.0,16.66667,101.18333
4935.0,11500.0,-6.91667,107.6
4936.0,15000.0,27.7,76.33333
4937.0,14.0,30.4,78.2
4938.0,629.0,-6.33333,106.0
4942.0,6400.0,43.95,-0.05
4946.0,3200.0,42.38333,-2.5
4947.0,23.2,52.73333,84.08333
4948.0,17.0,52.0,9.1
4949.0,4500.0,31.61667,76.8
4954.0,44000.0,52.56528,-1.33972
44876.0,29560.0,15.78333,-5.9
4957.0,15500.0,52.03333,20.93583
4974.0,21000.0,45.41667,-98.31667
4975.0,86000.0,38.25,-83.75
56133.0,2900.0,40.66813,-117.18913
4976.0,1557.0,11.08333,-0.18333
4977.0,611.0,36.75,-93.5
4984.0,16000.0,39.8,-101.2
4986.0,14000.0,51.16667,-117.33333
4993.0,794.0,53.01667,-4.1
5005.0,375.0,33.6,-96.46667
5011.0,3700.0,25.36667,82.91667
30443.0,25000.0,32.25,-8.15
5018.0,19000.0,32.86667,10.8
5021.0,1770.5,39.08333,-89.15
5023.0,3880.0,-26.16667,28.41667
5024.0,45000.0,30.0,-7.0
5026.0,2840.0,45.95,-67.55
48975.0,270.0,-31.91,-58.32833
5028.0,18000.0,11.65,-3.65
5029.0,1440.0,41.68333,-3.8
47355.0,960.0,40.30583,-105.02325
5032.0,13.9,42.53333,-73.83333
5034.0,2000.0,43.21667,-0.23333
5035.0,1100.0,33.88333,35.5
5037.0,18.0,20.88333,74.83333
36591.0,678.0,26.50833,73.11528
5039.0,100.0,20.83333,71.46667
5040.0,1047.0,22.68333,90.65
5041.0,2500.0,22.08333,86.9
5042.0,4000.0,53.1,23.2
5043.0,1900.0,50.13333,27.16667
5045.0,25000.0,12.45,-0.08333
5051.0,488.1,-33.15639,115.67639
5056.0,560.0,13.76667,5.3
5059.0,6000.0,34.16667,-80.28333
5060.0,1039.0,25.38333,82.6
5063.0,1850.0,49.78333,30.16667
5064.0,330000.0,60.4,25.8
5065.0,705.0,40.91667,-78.08333
5068.0,2381.0,36.83333,-97.33333
5071.0,5100.0,31.83333,-98.83333
5072.0,470.0,49.36667,16.63333
5076.0,67.8,40.48,-89.00417
5090.0,7500.0,33.83333,115.83333
5093.0,56.0,23.0,-102.0
5097.0,8800.0,12.5,0.7
5098.0,256000.0,44.55,131.63333
5110.0,1676.0,44.86667,10.05
5111.0,8600.0,21.95,78.03333
5112.0,1342.0,54.23333,52.48333
5113.0,7000.0,48.15,24.28333
5114.0,500.0,55.46667,35.86667
5117.0,614.0,51.33333,33.88333
57168.0,190.0,17.71067,-11.3715
57167.0,3599.0,17.17493,-11.34133
5121.0,5460.0,54.56667,-6.33333
5128.0,762.0,40.5,-80.08333
5133.0,39000.0,50.6,16.3
5134.0,1500.0,50.66694,8.18361
5135.0,7250.0,53.4,9.1
5140.0,219.0,52.13333,59.31667
5156.0,303000.0,53.9,-112.88333
30448.0,5300.0,39.77978,64.60035
48653.0,324.0,-31.35,129.19
5165.0,357.0,10.01667,9.58333
5169.0,120000.0,5.0,48.0
5175.0,1504.0,37.62194,-82.23722
5177.0,25000.0,40.2,29.23333
5178.0,5000.0,46.45,25.78333
5181.0,1500.0,26.78333,82.83333
5183.0,29000.0,27.08333,84.08333
48654.0,41000.0,52.996,-109.84817
5185.0,25000.0,37.98333,-1.16667
5186.0,48500.0,35.5,-93.5
5187.0,212.0,43.83889,20.33333
45976.0,478.0,3.405,-76.51
5200.0,2400.0,11.75,122.33333
5249.0,23680.0,-7.03333,-40.16667
5250.0,4000.0,39.8,26.6
5251.0,945.0,41.25,1.66667
5252.0,34000.0,43.38333,-5.15
5253.0,1400.0,38.47028,-105.24139
5260.0,2300.0,37.26667,-89.58333
5264.0,750.0,-30.88333,-64.55
45817.0,342.0,-16.66444,-69.04389
5265.0,8.0,38.5,27.0
5291.0,7300.0,36.08333,-78.06667
5293.0,94.0,44.38333,-68.75
5295.0,15000.0,39.8,16.2
5296.0,1360.0,36.5,-79.25
5306.0,1025.0,26.46667,-105.23333
5307.0,45.6,43.2,-96.91667
5308.0,6460.0,45.08333,8.3
5313.0,3700.0,28.53333,109.31667
5314.0,0.5,25.36667,81.66667
5315.0,8200.0,25.85,83.48333
5316.0,18300.0,-30.78333,-58.05
5320.0,8800.0,20.26667,76.01667
5321.0,1100.0,27.28333,79.05
5322.0,1810.0,29.08333,111.75
5325.0,31500.0,46.68333,1.05
5328.0,4300.0,36.16667,-87.33333
5329.0,27000.0,47.93333,1.56667
5330.0,12000.0,29.48333,75.5
5331.0,4000.0,47.71667,5.36667
5332.0,30000.0,47.93333,2.91667
5334.0,2945.0,41.93333,-7.46667
